Argos PTT,Deploy year,Deploy date,End date,Tracking duration (days),Deploy location,Deploy latitude,Deploy longitude,Stage of annual cycle upon deployment,Sex,Maturity,Initial Activity,Number of locations,Tag programming,Retained for SSM,SSM derived track distance estimate (km),Movement captured
96404,2010,1/03/2010,1/03/2010,1,Antarctica,-68.10471,167.0654,On feeding grounds,Unknown,Adult,Slow travelling,28,6h on/18h off,Yes,68,Antarctic feeding grounds
88752,2009,28/06/2009,29/06/2009,1,"Evans Head, Australia",-29.1873,153.5117,Migrating north,Male,Adult,Travelling,2,6h on/18h off,No,NA,NA
53359,2010,14/10/2010,14/10/2010,1,"Sunshine Coast, Australia",-26.52725,153.2485,Migrating south,Male,Adult,Surface active,2,4h on/8h off,No,NA,NA
53376,2010,21/02/2010,23/02/2010,2,Antarctica,-66.95655,164.2014,On feeding grounds,Male,Adult,Feeding,48,4h on/8h off,Yes,222,Antarctic feeding grounds
88744,2008,25/10/2008,27/10/2008,3,"Eden, Australia",-37.04541,150.0972,Migrating south,Male,Adult,Feeding,17,6h on/18h off,Yes,110,Southern migration along the Australian east coast
53383,2010,21/02/2010,24/02/2010,3,Antarctica,-66.887,164.1967,On feeding grounds,Male,Adult,Logging,7,4h on/8h off,Yes,244,Antarctic feeding grounds
96401,2010,7/03/2010,10/03/2010,4,Antarctica,-68.89021,166.8359,On feeding grounds,Male,Adult,Surface active,69,6h on/18h off,Yes,68,Antarctic feeding grounds
96395,2010,8/03/2010,12/03/2010,5,Antarctica,-66.75556,163.7755,On feeding grounds,Male,Adult,Feeding,82,6h on/18h off,Yes,219,Antarctic feeding grounds
88743,2008,24/10/2008,5/11/2008,13,"Eden, Australia",-37.10306,150.0577,Migrating south,Male,Adult,Feeding,92,6h on/18h off,Yes,535,Southern migration along the Australian east coast
96385,2010,22/02/2010,7/03/2010,13,Antarctica,-66.58406,163.3529,On feeding grounds,Female,Adult,Fast travelling,188,6h on/18h off,Yes,383,Antarctic feeding grounds
88747,2009,24/06/2009,7/07/2009,13,"Evans Head, Australia",-29.1007,153.5608,Migrating north,Male,Adult,Travelling,55,6h on/18h off,Yes,901,Northern migration to breeding grounds
64238,2010,16/10/2010,30/10/2010,14,"Sunshine Coast, Australia",-26.48847,153.137,Migrating south,Unknown,Adult,Milling,47,6h on/18h off,Yes,790,Southern migration along the Australian east coast
